Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
0,9.999678,72.320928,869.999763,29.999812,867.925532,73.698482,71.663367,71.695754,70.21071,20.275328,87.687947,95.343591,0.179301,-0.001982,17.115476,21.114327,85.782516
300.384856,9.999678,67.007657,869.999763,29.999812,867.671467,74.066453,69.537398,65.0774,63.939344,20.584923,52.427638,96.313461,25.844311,-0.001982,17.086941,20.779821,85.770847
600.385301,9.999678,66.801153,869.999763,29.999812,869.750738,73.822718,69.41388,66.265546,65.360412,21.101721,79.274696,96.867488,23.56674,-0.001982,17.080838,20.60213,85.77147
900.393478,9.999678,66.902228,869.999763,29.999812,871.295802,73.933098,69.332604,65.317915,64.403577,22.523682,76.290051,2.932637,21.085922,-0.001982,17.046625,20.649868,85.768978
1200.394267,9.999678,66.709153,869.999763,29.999812,866.86904,73.959818,69.469707,65.516005,64.394463,23.523727,79.374499,3.963217,18.636986,-0.001982,17.058588,20.759986,85.760266
1500.395247,9.999678,66.589707,869.999763,29.999812,873.372279,73.932185,69.370167,65.23599,64.340231,24.108552,81.346433,6.658334,16.445098,-0.001982,16.954962,20.84459,85.757225
1800.400434,9.999678,65.810852,869.999763,29.999812,867.048226,73.976042,69.438121,65.275731,64.084238,24.508451,81.286313,6.62992,16.367386,-0.001982,16.910489,20.949348,85.75875
2100.40082,9.999678,64.953799,869.999763,29.999812,869.565405,73.966463,69.433254,65.002127,64.201284,24.856821,83.270928,6.097315,17.574917,-0.001982,16.858985,20.816571,85.766923
2400.400863,9.999678,65.140799,869.999763,29.999812,870.467111,73.959593,69.308979,65.05646,63.934008,25.019508,83.57561,5.305985,17.411522,-0.001982,16.83222,20.71256,85.759791
2700.401187,9.999678,65.147571,869.999763,29.999812,866.529107,73.998777,69.271576,65.001302,64.039493,25.218237,84.64704,3.951368,17.050856,-0.001982,16.715966,20.756417,85.75226
