Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
11701.09541,9.999678,64.966434,869.999763,29.999812,866.864756,73.99704,68.979942,64.188465,63.3739,26.87805,88.766379,2.642882,16.700154,-0.001982,15.421251,21.794887,85.736295
12001.07523,9.999678,65.338967,869.999763,29.999812,868.170843,74.077967,69.026745,64.214298,63.537668,26.858207,88.972868,2.806606,15.845318,-0.001982,15.555308,21.6523,85.743966
12301.5967,9.999678,64.957082,869.999763,29.999812,870.596565,74.04502,69.18786,64.228518,63.659091,26.822071,89.016436,2.759634,15.861259,-0.001982,15.334424,21.591352,85.735616
12601.1812,9.999678,64.900718,869.999763,29.999812,872.202538,74.049193,69.084288,64.172398,63.539424,26.69832,89.090083,2.777332,16.437128,-0.001982,15.447256,21.740363,85.724579
12901.41267,9.999678,65.021982,869.999763,29.999812,870.879874,74.0904,69.082412,64.219195,63.61674,26.842091,89.194748,2.889521,16.034618,-0.001982,15.373848,21.799921,85.716219
13201.52836,9.999678,65.168042,869.999763,29.999812,872.191176,73.99828,68.942104,64.101625,63.54486,26.825662,89.371197,2.98198,15.801481,-0.001982,15.365093,21.693597,85.715066
13501.70818,9.999678,65.161005,869.999763,29.999812,870.625436,74.074503,69.004472,64.195526,63.648546,26.598879,89.498121,3.090238,16.030632,-0.001982,15.142618,21.664422,85.71356
13801.88534,9.999678,65.221483,869.999763,29.999812,866.088964,74.044688,68.950183,64.138512,63.628307,26.822697,89.622879,3.151184,15.819414,-0.001982,15.252474,21.745239,85.706921
14101.89937,9.999678,64.828762,869.999763,29.999812,868.160971,73.931944,68.927729,64.055294,63.434286,26.745868,89.795219,3.296567,16.293659,-0.001982,15.091367,21.690299,85.698766
14402.48246,9.999678,65.284426,869.999763,29.999812,865.713269,73.870355,68.808856,64.048504,63.457825,26.664344,89.936001,3.350578,15.701849,-0.001982,15.190021,21.64186,85.693876
14702.61141,9.999678,65.088346,869.999763,29.999812,865.726307,73.890714,68.815437,63.983237,63.394269,26.578333,90.053097,3.411714,16.048566,-0.001982,15.126873,21.688785,85.679147
15002.59249,9.999678,64.99999,869.999763,29.999812,868.23827,73.883275,68.835291,63.817871,63.448579,26.733287,90.073943,3.559969,16.237865,-0.001982,15.106423,21.721601,85.662205
15303.19846,9.999678,64.987056,869.999763,29.999812,865.440391,73.84974,68.71665,63.965351,63.392103,26.639216,90.154829,3.604871,15.994765,-0.001982,15.066427,21.790638,85.669551
15603.25867,9.999678,65.11924,869.999763,29.999812,871.887006,73.773619,68.720023,63.823085,63.530425,26.655563,90.222399,3.613659,15.751665,-0.001982,15.036944,21.823384,85.662931
15902.96103,9.999678,65.028869,869.999763,29.999812,869.396277,73.716509,68.84707,63.825277,63.395865,26.754606,90.265452,3.698653,15.823399,-0.001982,15.025076,21.688942,85.652126
16203.96846,9.999678,64.647852,869.999763,29.999812,865.304232,73.767163,68.705557,63.669363,63.228537,26.67113,90.325017,3.778526,16.967166,-0.001982,14.935016,21.668477,85.640429
16504.21646,9.999678,65.049703,869.999763,29.999812,867.737778,73.721028,68.784651,63.762431,63.213651,26.643797,90.355678,3.83574,16.411224,-0.001982,14.904843,21.811541,85.646733
16803.76583,9.999678,65.31882,869.999763,29.999812,865.056314,73.744364,68.733455,63.760165,63.203229,26.692074,90.434926,3.897792,15.711812,-0.001982,14.87828,21.610409,85.637425
17104.55146,9.999678,64.985472,869.999763,29.999812,867.433608,73.727577,68.686945,63.826033,63.09649,26.722157,90.373221,3.965589,16.168124,-0.001982,14.772966,21.787044,85.619554
17404.92206,9.999678,65.058544,869.999763,29.999812,866.794907,73.636889,68.753634,63.912396,63.014899,26.806989,90.25738,3.909206,15.942957,-0.001982,14.776981,21.853074,85.59006
