Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
17400.46815,9.999678,65.355613,869.999763,30.999286,872.426614,73.201909,67.522514,62.97612,62.793735,26.764532,95.147312,10.41953,15.799488,-0.001982,15.288076,21.159309,86.38887
17701.16419,9.999678,65.365502,869.999763,30.999286,876.585342,73.244614,67.602194,63.089693,62.876847,26.929997,94.877031,10.292469,15.506572,-0.001982,15.451327,21.166678,86.380631
18001.45543,9.999678,64.533216,869.999763,30.999286,871.823117,73.166486,67.731602,63.147978,62.980821,26.842424,94.71716,10.164897,17.026945,-0.001982,15.23421,21.013434,86.373118
18301.72519,9.999678,65.185717,869.999763,30.999286,878.129847,73.213143,67.708461,63.153264,62.954482,27.04473,94.560711,10.059814,15.921038,-0.001982,15.191557,20.871666,86.374727
18601.287,9.999678,65.12645,869.999763,30.999286,871.656969,73.240986,67.86618,63.218608,62.952216,26.967486,94.352491,9.943544,15.494616,-0.001982,15.118797,21.137895,86.357962
18901.58259,9.999678,64.658269,869.999763,30.999286,878.271036,73.298186,67.925459,63.200426,63.014226,26.992987,94.15834,9.688041,16.389305,-0.001982,15.10728,21.29968,86.357925
19201.9612,9.999678,65.276003,869.999763,30.999286,878.035039,73.208329,68.042956,63.350279,62.924579,27.088358,93.990544,9.577771,15.508565,-0.001982,14.977805,21.175495,86.346785
19502.45819,9.999678,64.985906,869.999763,30.999286,871.305488,73.319268,68.037164,63.261407,63.00766,27.108583,93.844161,9.326596,15.624137,-0.001982,15.002158,21.266863,86.323409
19801.99322,9.999678,64.91493,869.999763,30.999286,876.244478,73.329701,68.194231,63.42951,63.07208,27.144206,93.653722,9.078568,16.068492,-0.001982,15.048938,21.284881,86.325204
20101.99344,9.999678,65.183705,869.999763,30.999286,873.51831,73.310341,68.11276,63.440176,63.012293,27.103648,93.422424,8.852319,15.271442,-0.001982,14.952925,21.341912,86.316891
20401.99442,9.999678,64.732239,869.999763,30.999286,871.873595,73.475168,68.302476,63.54094,63.063434,27.197312,93.059591,8.255942,16.237865,-0.001982,14.879568,21.164693,86.296918
20702.0231,9.999678,65.009381,869.999763,30.999286,870.922528,73.531184,68.127325,63.587737,63.068123,27.199881,92.870367,8.869186,16.227902,-0.001982,14.88702,21.35861,86.275532
21002.57419,9.999678,65.310567,869.999763,30.999286,875.838235,73.482298,68.32363,63.466895,63.16596,27.324775,92.792149,8.803931,14.924726,-0.001982,14.825114,21.299199,86.265992
21303.04619,9.999678,64.853447,869.999763,30.999286,872.358628,73.463477,68.286591,63.490476,63.212175,27.395373,92.644195,7.751108,15.964876,-0.001982,14.713407,21.197852,86.253123
21603.43219,9.999678,65.318241,869.999763,30.999286,871.913828,73.775726,68.480789,63.778766,63.315433,27.516057,92.476834,7.144478,15.084136,-0.001982,14.738682,21.319336,86.245368
21903.04612,9.999678,65.022286,869.999763,30.999286,876.819104,73.487541,68.41744,63.622894,63.131335,27.599731,92.531828,7.065711,15.576314,-0.001982,14.710015,21.373326,86.235401
22203.78619,9.999678,64.682994,869.999763,30.999286,871.533103,73.539063,68.368575,63.637318,63.14354,27.539074,92.610165,7.249939,16.283696,-0.001982,14.673527,21.498668,86.219491
22503.33023,9.999678,65.148986,869.999763,30.999286,876.723178,73.546348,68.351475,63.649972,63.041433,27.507748,92.489793,7.367533,15.347162,-0.001982,14.64743,21.533166,86.230817
22804.22319,9.999678,64.806632,869.999763,30.999286,875.836745,73.595475,68.378849,63.611745,63.115654,27.530681,92.377149,6.577639,15.773584,-0.001982,14.572567,21.578807,86.212908
23104.41123,9.999678,65.035584,869.999763,30.999286,876.372069,73.651113,68.506296,63.696094,63.181775,27.683614,92.104516,6.238663,15.490631,-0.001982,14.511244,21.569706,86.205516
23404.70673,9.999678,64.983929,869.999763,30.999286,869.933091,73.652767,68.616896,63.748416,63.120556,27.76198,92.370544,6.186259,15.62613,-0.001982,14.354213,21.587836,86.191773
23704.61011,9.999678,65.021396,869.999763,30.999286,869.88578,73.772958,68.479613,63.731319,63.297049,27.661451,92.30518,6.121306,15.663989,-0.001982,14.465316,21.510151,86.194711
24005.17619,9.999678,65.077779,869.999763,30.999286,870.643318,73.753151,68.548087,63.715731,63.353848,27.574816,92.309751,6.049635,15.552402,-0.001982,14.321653,21.49068,86.186789
24305.24722,9.999678,65.003705,869.999763,30.999286,874.790497,73.749693,68.592311,63.729576,63.288157,27.864878,92.25008,5.899735,15.638085,-0.001982,14.457854,21.631168,86.171995
24605.13407,9.999678,64.917285,869.999763,30.999286,875.108264,73.747623,68.521139,63.569619,63.186995,27.867238,92.324837,5.737939,15.687901,-0.001982,14.352499,21.624504,86.169578
24905.43913,9.999678,64.841392,869.999763,30.999286,872.069918,73.727298,68.612471,63.709287,63.292645,27.697359,92.457005,5.72935,15.787532,-0.001982,14.372741,21.605872,86.173892
25206.38018,9.999678,64.891838,869.999763,30.999286,872.975163,73.792203,68.510753,63.812296,63.157177,27.681303,92.515831,5.619363,15.715798,-0.001982,14.234704,21.712877,86.168927
25505.93609,9.999678,65.111316,869.999763,30.999286,869.815744,73.733131,68.651074,63.785255,63.380572,27.776836,92.47402,5.512768,15.500594,-0.001982,14.200416,21.719409,86.166296
25806.80719,9.999678,65.165875,869.999763,30.999286,873.319566,73.717156,68.608736,63.698126,63.274072,27.955446,92.427824,5.621253,15.229597,-0.001982,14.194485,21.622021,86.160214
26106.61353,9.999678,65.006334,869.999763,30.999286,872.723892,73.739133,68.360418,63.50625,63.10581,27.987158,92.49764,5.735454,15.39897,-0.001982,14.127504,21.327014,86.149307
26407.17982,9.999678,64.954592,869.999763,30.999286,870.119169,73.777564,68.40567,63.715016,63.227083,27.961749,92.6522,5.869196,15.175796,-0.001982,14.129573,21.875943,86.152199
26707.45449,9.999678,65.006096,869.999763,30.999286,872.58736,73.79477,68.442105,63.575276,63.241209,27.96993,92.858782,5.347598,15.381037,-0.001982,14.047937,21.662391,86.157704
27007.95719,9.999678,65.047557,869.999763,30.999286,870.528951,73.688434,68.497399,63.518676,63.302045,27.743344,93.01251,5.179027,15.35314,-0.001982,14.090884,21.65521,86.154096
