Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
451206.761,9.999678,64.780825,869.999763,29.999812,863.544032,74.017396,69.352737,64.455123,63.48895,28.108181,91.439552,1.213192,16.277718,-0.001982,9.734997,22.457779,85.351455
451507.2667,9.999678,65.061682,869.999763,29.999812,867.504574,73.972776,69.259111,64.433894,63.552712,27.905733,91.535432,1.219627,15.757643,-0.001982,9.660686,22.453952,85.370842
451806.8163,9.999678,65.151322,869.999763,29.999812,868.122227,73.896654,69.20689,64.375351,63.41798,28.137302,91.582672,1.279959,15.58827,-0.001982,9.607281,22.2416,85.401294
452106.8173,9.999678,65.355713,869.999763,29.999812,864.027575,73.98229,69.158513,64.390468,63.426972,28.236269,91.733137,1.353199,15.410926,-0.001982,9.578812,22.404712,85.396348
452406.8173,9.999678,65.031927,869.999763,29.999812,863.607921,74.021812,69.213673,64.288788,63.397203,28.159863,91.973471,1.478512,15.574321,-0.001982,9.5885,22.054111,85.396748
452706.8223,9.999678,65.13243,869.999763,29.999812,868.846983,73.849069,68.97797,64.186267,63.192714,28.232756,92.210317,1.5288,15.381037,-0.001982,9.619306,22.125347,85.412053
453007.3987,9.999678,65.030361,869.999763,29.999812,862.280972,74.00792,68.944495,64.106301,63.207605,28.269578,92.60138,1.677784,15.55041,-0.001982,9.43962,22.178896,85.418124
453306.9482,9.999678,65.264352,869.999763,29.999812,864.46958,73.821401,68.809037,63.962403,63.220815,28.203519,92.807658,1.742387,15.227605,-0.001982,9.412043,22.402002,85.420226
453607.0938,9.999678,64.92265,869.999763,29.999812,868.954644,73.809584,68.865791,63.900869,63.160887,28.13194,92.894,1.839551,15.58827,-0.001982,9.454255,22.67454,85.415493
453907.7759,9.999678,64.727312,869.999763,29.999812,863.986038,73.713694,68.790896,63.800085,63.026088,28.36393,92.960448,1.929582,15.502587,-0.001982,9.30901,22.39463,85.424075
454208.1167,9.999678,64.939053,869.999763,29.999812,863.963686,73.778088,68.670802,63.78324,63.039422,28.234709,93.169606,2.014964,15.197715,-0.001982,9.303195,22.4687,85.453086
454508.1807,9.999678,64.838558,869.999763,29.999812,864.757173,73.786057,68.586231,63.753065,63.045799,28.361818,93.353294,2.057853,15.661997,-0.001982,9.298937,22.492138,85.47397
454808.428,9.999678,65.233298,869.999763,29.999812,864.163175,73.703357,68.658298,63.702078,63.004973,28.22314,93.502095,2.203642,14.930703,-0.001982,9.169321,22.53956,85.469302
455108.7003,9.999678,64.882643,869.999763,29.999812,869.265705,73.7321,68.655629,63.666797,62.995909,28.234661,93.694383,2.287512,15.648048,-0.001982,9.131458,22.481711,85.461799
455408.8257,9.999678,64.890569,869.999763,29.999812,865.140691,73.756297,68.658558,63.730769,63.065226,28.182773,93.891374,2.420035,15.825392,-0.001982,9.091933,22.47528,85.474407
455708.351,9.999678,65.277794,869.999763,29.999812,869.395718,73.668118,68.698662,63.770838,63.180648,28.14884,93.951085,2.566335,14.906792,-0.001982,9.093804,22.443314,85.490809
456008.3555,9.999678,64.864295,869.999763,29.999812,863.130711,73.753887,68.746524,63.729431,63.094949,28.202904,94.036489,2.64532,15.203693,-0.001982,9.060301,22.366233,85.505547
456308.9017,9.999678,65.046889,869.999763,29.999812,864.612818,73.605364,68.664016,63.733767,63.048829,28.314436,94.021152,2.685308,15.333214,-0.001982,9.036075,22.324807,85.50737
456608.7535,9.999678,65.018636,869.999763,29.999812,869.080931,73.736958,68.753488,63.765089,63.076196,28.24971,93.829233,2.76331,15.046276,-0.001982,8.939145,22.395425,85.525464
456909.1797,9.999678,64.591669,869.999763,29.999812,869.453646,73.716401,68.760367,63.879008,63.17436,28.252855,93.791201,2.797941,15.889156,-0.001982,8.930167,22.305242,85.530309
457208.7265,9.999678,64.963282,869.999763,29.999812,864.773937,73.571564,68.672155,63.716967,63.083175,28.188264,93.68824,2.829387,15.530484,-0.001982,8.955057,22.391065,85.532187
457509.2037,9.999678,65.110397,869.999763,29.999812,870.070927,73.72996,68.822614,63.783474,63.023082,28.309396,93.628464,2.83379,14.918748,-0.001982,8.750892,22.538474,85.565819
457809.6327,9.999678,64.717833,869.999763,29.999812,869.806245,73.736553,68.803302,63.860011,63.00795,28.348705,93.607063,2.87342,16.19602,-0.001982,8.815206,22.545179,85.570831
458109.4609,9.999678,65.303727,869.999763,29.999812,865.236804,73.71934,68.751309,63.905521,63.074961,28.271477,93.692745,2.925342,14.833065,-0.001982,8.80928,22.551615,85.569269
458409.8811,9.999678,64.514794,869.999763,29.999812,865.501858,73.804402,68.934471,63.972109,63.240915,28.29408,93.542611,2.912813,15.857274,-0.001982,8.734868,22.674404,85.578335
458709.8426,9.999678,64.879795,869.999763,29.999812,870.486297,73.875961,68.94067,64.040875,63.174497,28.364785,93.434815,2.856695,15.803473,-0.001982,8.734559,22.455786,85.599172
459010.2601,9.999678,65.264686,869.999763,29.999812,870.489463,73.763167,69.031741,63.970495,63.223128,28.239581,93.324113,2.884541,14.815131,-0.001982,8.670519,22.416023,85.618522
