Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
0,9.999678,58.660343,869.999763,29.999812,867.292047,69.873805,67.972517,67.384284,68.57345,22.170038,52.625462,41.214259,27.043871,-0.001982,14.235333,21.785138,85.289631
300.363004,9.999678,69.457361,869.999763,29.999812,867.964648,70.305717,67.881856,66.971797,67.017341,23.194568,50.885144,39.222313,4.788242,-0.001982,14.194556,21.742039,85.295005
600.363505,9.999678,60.129038,869.999763,29.999812,861.328043,70.850512,67.647668,66.420945,67.091395,25.147357,62.632384,36.561062,22.624229,-0.001982,14.105205,21.679074,85.295926
900.374179,9.999678,65.707829,869.999763,29.999812,864.881039,71.106376,67.788005,65.841214,65.844735,25.825639,64.625137,33.758869,16.570634,-0.001982,14.076624,21.52973,85.292895
1200.37449,9.999678,66.789162,869.999763,29.999812,864.554703,71.466046,67.791402,65.635649,65.342617,25.893771,91.214806,32.163131,10.269954,-0.001982,14.033074,21.453672,85.293536
1500.384389,9.999678,61.53479,869.999763,29.999812,861.473702,71.821786,67.989985,65.182497,64.77717,25.945542,77.90659,29.187037,23.241942,-0.001982,14.02913,21.311098,85.292802
1800.387506,9.999678,67.399076,869.999763,29.999812,868.116081,71.883211,67.923057,64.899624,64.429103,26.058332,81.582394,27.406712,12.96996,-0.001982,13.993736,21.381332,85.293843
2100.387627,9.999678,65.042822,869.999763,29.999812,861.635752,72.217373,68.090396,64.690792,64.144183,26.035053,82.573995,26.06712,14.56406,-0.001982,13.9033,21.578187,85.309474
2400.387747,9.999678,63.452699,869.999763,29.999812,864.299335,72.395148,68.209331,64.546565,63.954661,26.086672,83.564183,24.820666,20.253005,-0.001982,13.891519,21.649408,85.301663
2700.388387,9.999678,66.792302,869.999763,29.999812,865.468144,72.581678,68.340417,64.434295,63.667581,26.076375,84.672047,22.733512,12.738816,-0.001982,13.840086,21.629668,85.300175
3000.393634,9.999678,63.954846,869.999763,29.999812,861.347042,72.824548,68.285192,64.346784,63.707971,26.172158,85.931591,21.508942,17.34178,-0.001982,13.808058,21.667542,85.30528
3300.394506,9.999678,64.852902,869.999763,29.999812,868.032634,72.848561,68.276655,64.208373,63.463173,26.262937,86.820945,20.049281,17.680526,-0.001982,13.792227,21.489255,85.3013
3600.403231,9.999678,65.918074,869.999763,29.999812,864.021614,72.965522,68.366495,64.007808,63.334167,26.197942,87.472659,18.929586,14.059926,-0.001982,13.72803,21.396773,85.302016
3900.403545,9.999678,63.443134,869.999763,29.999812,866.180606,73.076776,68.188665,63.802713,63.257905,26.195194,88.19851,17.019762,19.240751,-0.001982,13.657627,21.424859,85.311659
4200.40431,9.999678,65.701097,869.999763,29.999812,861.339778,73.155707,68.269769,63.741266,63.238322,26.202397,88.88321,16.862123,15.691886,-0.001982,13.613864,21.582795,85.320083
4500.412311,9.999678,65.248334,869.999763,29.999812,867.662713,73.198742,68.256367,63.636284,63.238252,26.083433,89.560341,14.685023,15.159855,-0.001982,13.591321,21.692583,85.306805
4800.417171,9.999678,64.224856,869.999763,29.999812,862.208702,73.358207,68.274134,63.628077,63.179525,26.253653,90.06389,13.42005,18.190638,-0.001982,13.573123,21.56963,85.305829
5100.42174,9.999678,65.746053,869.999763,29.999812,863.097928,73.20093,68.409457,63.692787,63.106266,26.353728,90.346272,11.936217,14.719485,-0.001982,13.495862,21.577558,85.302779
5400.42197,9.999678,64.758601,869.999763,29.999812,866.984151,73.320252,68.505363,63.7286,63.160363,26.363183,90.469035,10.910475,16.227902,-0.001982,13.455627,21.690233,85.289761
5700.425343,9.999678,64.864523,869.999763,29.999812,860.9896,73.356669,68.597232,63.777766,63.148526,26.397566,90.4119,10.046075,16.883476,-0.001982,13.438381,21.707115,85.294857
6000.425593,9.999678,65.555455,869.999763,29.999812,866.964035,73.418399,68.638756,63.755233,63.140568,26.372425,90.295148,9.05331,14.595942,-0.001982,13.36113,21.647405,85.288524
6300.431595,9.999678,64.494208,869.999763,29.999812,862.706587,73.394824,68.754182,63.875567,63.428138,26.437303,90.111235,8.203349,16.893439,-0.001982,13.349978,21.56453,85.285763
6600.432505,9.999678,65.29915,869.999763,29.999812,862.365536,73.36439,68.931654,64.044154,63.350963,26.62073,89.803502,8.004881,15.697864,-0.001982,13.331901,21.451223,85.277627
6900.432535,9.999678,65.180898,869.999763,29.999812,867.318124,73.631572,68.866268,64.16152,63.387782,26.724107,89.499495,7.4746,15.406941,-0.001982,13.246377,21.615615,85.280249
7200.436728,9.999678,64.498143,869.999763,29.999812,860.872813,73.532825,69.029857,64.301452,63.336697,26.665435,88.938561,6.952426,16.781852,-0.001982,13.225056,21.746033,85.279728
7500.437484,9.999678,65.485842,869.999763,29.999812,866.005704,73.73865,69.246633,64.521301,63.603661,26.722148,88.223979,6.649754,14.603913,-0.001982,13.188476,21.719792,85.270058
7800.446649,9.999678,64.680777,869.999763,29.999812,863.096438,73.75717,69.351331,64.734054,63.679518,26.695808,87.513823,5.790041,16.182072,-0.001982,13.085189,21.683214,85.270132
8100.447534,9.999678,65.025378,869.999763,29.999812,861.765206,73.826524,69.517496,64.981489,63.958011,26.80413,86.797933,5.339085,15.83934,-0.001982,13.08785,21.552834,85.27255
8400.448501,9.999678,65.018354,869.999763,29.999812,867.604971,73.675265,69.680641,65.098953,63.793623,26.812056,86.017115,5.251246,15.285391,-0.001982,13.076749,21.688324,85.274512
8700.477618,9.999678,64.593184,869.999763,29.999812,860.835932,73.798696,69.582344,65.051107,63.871379,26.93419,85.246376,4.862824,16.656317,-0.001982,13.041041,21.530143,85.278296
9000.487644,9.999678,65.341239,869.999763,29.999812,865.190238,73.892257,69.724272,65.200312,64.071737,27.070238,84.671426,4.521364,15.127973,-0.001982,12.978369,21.660872,85.273526
9300.492192,9.999678,64.917175,869.999763,29.999812,863.9635,73.95873,69.738566,65.376052,64.161785,26.972939,84.064666,4.042816,15.46672,-0.001982,12.87487,21.722606,85.276725
9600.492484,9.999678,64.997854,869.999763,29.999812,861.263596,73.998682,69.868116,65.523502,64.164347,27.177406,83.488541,4.100843,16.010706,-0.001982,12.973822,21.804057,85.278027
9900.493171,9.999678,65.152208,869.999763,29.999812,867.746718,73.9759,69.805838,65.481493,64.169324,27.162296,82.977516,4.002327,15.179782,-0.001982,12.88585,21.76543,85.272104
10200.49437,9.999678,64.921175,869.999763,29.999812,860.927202,73.914411,69.779814,65.581114,64.230859,27.336318,82.556888,3.829551,15.791517,-0.001982,12.870145,21.812237,85.269342
10500.49472,9.999678,65.174835,869.999763,29.999812,864.236936,73.983408,70.03091,65.657349,64.305146,27.255949,108.100596,3.694165,15.048268,-0.001982,12.709621,21.75503,85.269519
